numSearches,avgCounts,maxCounts,maxDepth,avgMaxs,max,maxBoard,wins0,wins1,wins2,wins3,bestMove,board00,board01,board02,board03,board10,board11,board12,board13,board20,board21,board22,board23,board30,board31,board32,board33
226,77.21,211,7,126.03,256,64,0, 0.05, 0.42, 0.54,down,0, 0, 0, 0, 0, 2, 4, 16, 0, 0, 32, 64, 0, 2, 4, 8
218,78.72,241,7,129.75,256,64,0.14, 0.35, 0.13, 0.38,down,0, 0, 0, 0, 0, 0, 4, 16, 2, 0, 32, 64, 0, 4, 4, 8
213,69.85,208,8,122.62,256,64,0.33, 0.46, 0.05, 0.16,left,2, 0, 0, 0, 0, 0, 4, 16, 0, 0, 32, 64, 2, 4, 4, 8
240,69.78,196,6,121.89,256,64,0.42, 0.43, 0.04, 0.11,left,2, 0, 0, 2, 4, 16, 0, 0, 32, 64, 0, 0, 2, 8, 8, 0
240,68.07,181,6,120.3,256,64,0.09, 0.17, 0.35, 0.39,down,4, 0, 0, 0, 4, 16, 0, 0, 32, 64, 0, 0, 2, 16, 0, 2
245,65.8,214,7,117.07,256,64,0.18, 0.38, 0.21, 0.24,left,0, 0, 0, 2, 8, 16, 0, 0, 32, 64, 0, 0, 2, 16, 0, 2
252,69.4,203,7,119.15,256,64,0.24, 0.24, 0.53, 0,up,2, 2, 0, 0, 8, 16, 0, 0, 32, 64, 0, 0, 2, 16, 2, 0
241,75.18,205,10,134.08,256,64,0.2, 0.03, 0.69, 0.08,up,2, 2, 2, 0, 8, 16, 0, 0, 32, 64, 0, 0, 2, 16, 2, 0
224,73.45,200,10,135.96,256,64,0.02, 0.96, 0, 0.02,left,2, 2, 4, 0, 8, 16, 2, 0, 32, 64, 0, 0, 2, 16, 0, 0
229,68.91,168,9,131.9,256,64,0.06, 0.83, 0.07, 0.04,left,4, 4, 2, 0, 8, 16, 2, 0, 32, 64, 0, 0, 2, 16, 0, 0
243,75.92,191,7,141.64,256,64,0.01, 0, 0.03, 0.96,down,8, 2, 2, 0, 8, 16, 2, 0, 32, 64, 0, 0, 2, 16, 0, 0
222,81.54,220,8,149.81,256,64,0.04, 0.92, 0.05, 0,left,2, 2, 0, 0, 16, 16, 0, 0, 32, 64, 0, 0, 2, 16, 4, 0
205,81.84,200,8,147.88,256,64,0.02, 0.39, 0.04, 0.55,down,4, 0, 2, 0, 32, 0, 0, 0, 32, 64, 0, 0, 2, 16, 4, 0
204,81.05,202,7,148.6,256,128,0.12, 0.5, 0.37, 0,left,0, 0, 0, 0, 4, 2, 0, 0, 64, 64, 2, 0, 2, 16, 4, 0
206,78.93,192,7,154.59,256,128,0.11, 0.14, 0.52, 0.23,up,0, 2, 0, 0, 4, 2, 0, 0, 128, 2, 0, 0, 2, 16, 4, 0
213,73.67,209,6,142.36,256,128,0.09, 0.49, 0.3, 0.12,left,4, 4, 4, 0, 128, 2, 0, 0, 2, 16, 0, 0, 0, 0, 0, 2
228,72.95,202,8,145.89,256,128,0.48, 0.04, 0.11, 0.37,right,8, 4, 0, 0, 128, 2, 0, 0, 2, 16, 0, 0, 2, 0, 2, 0
231,76.44,210,7,148.97,256,128,0, 0.83, 0.05, 0.13,left,0, 0, 8, 4, 0, 2, 128, 2, 0, 0, 2, 16, 0, 0, 0, 4
220,78.45,185,8,155.22,256,128,0.02, 0.03, 0.85, 0.1,up,8, 4, 0, 0, 2, 128, 2, 0, 2, 16, 0, 0, 4, 0, 2, 0
214,76.06,193,6,150.03,256,128,0.25, 0.37, 0.25, 0.13,left,8, 4, 4, 0, 4, 128, 0, 0, 4, 16, 0, 0, 2, 0, 0, 0
221,74.13,188,6,149.91,256,128,0.19, 0.26, 0.36, 0.19,up,8, 8, 0, 0, 4, 128, 0, 0, 4, 16, 0, 0, 2, 0, 2, 0
227,71.35,188,7,148.77,256,128,0.06, 0.29, 0.4, 0.25,up,8, 8, 2, 0, 8, 128, 0, 0, 2, 16, 0, 2, 0, 0, 0, 0
235,69.66,260,6,147.53,512,128,0.32, 0.07, 0.41, 0.19,up,16, 8, 2, 2, 2, 128, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2
241,70.56,198,7,149.69,256,128,0.28, 0.07, 0.55, 0.1,up,16, 8, 2, 4, 2, 128, 0, 0, 0, 16, 0, 0, 2, 0, 0, 0
238,67.71,202,7,146.74,256,128,0.12, 0.14, 0.34, 0.4,down,16, 8, 2, 4, 4, 128, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2
246,66.51,190,8,147.69,256,128,0.83, 0.15, 0.03, 0,right,0, 0, 0, 0, 2, 8, 0, 0, 16, 128, 0, 4, 4, 16, 2, 2
